Company_Name,NAIC_Code,Filing_State,Filing_Date,LOB,Rate_Change_Type,Rate_Change_Percent,Effective_Date,Prior_Rate_Level,New_Rate_Level,Filed_Territories,Market_Share_State,Avg_Premium_Before,Avg_Premium_After,Competitor_Positioning,Product_Tier,Filed_By,Approved_Status,Approval_Date
Atlas Mutual Insurance,75871,OR,2024-12-30,Workers Comp,Rate Increase,9.6,2025-02-27,1.0,1.096,"OR-Central, OR-West",0.9,1934,2120,Premium Above Market Avg,Mid-Tier,Actuarial Department,Approved,2025-02-25
Atlas Mutual Insurance,75871,VA,2024-08-14,Workers Comp,Rate Increase,2.4,2024-11-26,1.0,1.024,"VA-Central, VA-South",3.4,1370,1403,At Market Avg,Premium,Actuarial Department,Approved,2024-10-25
Atlas Mutual Insurance,75871,WA,2025-06-04,Workers Comp,Rate Increase,6.9,2025-07-15,1.0,1.069,"WA-East, WA-South",4.1,1072,1146,Premium Above Market Avg,Premium,Actuarial Department,Rejected,
Blue Harbor Assurance,52438,CA,2025-11-19,Commercial Auto,Rate Increase,10.6,2025-12-26,1.0,1.106,"CA-Central, CA-North, CA-South",7.9,1640,1814,Premium Above Market Avg,Mid-Tier,Actuarial Department,Approved,2025-12-07
Blue Harbor Assurance,52438,FL,2025-04-23,Commercial Auto,Rate Increase,2.2,2025-06-29,1.0,1.022,"FL-East, FL-Central",4.0,1850,1891,At Market Avg,Mid-Tier,Actuarial Department,Pending,
Blue Harbor Assurance,52438,MA,2024-08-12,Commercial Auto,Rate Increase,7.4,2024-12-05,1.0,1.074,"MA-West, MA-Central",3.7,1470,1579,Premium Above Market Avg,Premium,Actuarial Department,Approved,2024-11-14
Blue Harbor Assurance,52438,MD,2025-01-27,Commercial Auto,Rate Increase,3.7,2025-03-01,1.0,1.037,"MD-Central, MD-West, MD-East",6.6,1685,1747,Premium Above Market Avg,Mid-Tier,Actuarial Department,Pending,
Blue Harbor Assurance,52438,NC,2024-11-05,Commercial Auto,Rate Increase,7.3,2025-01-24,1.0,1.073,"NC-North, NC-South, NC-East",1.8,2032,2180,Premium Above Market Avg,Premium,Actuarial Department,Approved,2024-12-30
Blue Harbor Assurance,52438,NJ,2025-01-09,Commercial Auto,Rate Increase,4.7,2025-02-17,1.0,1.047,"NJ-South, NJ-North",2.7,1087,1138,Premium Above Market Avg,Mid-Tier,Actuarial Department,Approved,2025-02-22
Blue Harbor Assurance,52438,NY,2024-07-29,Commercial Auto,New Filing,0.0,2024-10-28,1.0,1.0,"NY-South, NY-East, NY-North",6.8,2150,2150,At Market Avg,Premium,Actuarial Department,Pending,
Blue Harbor Assurance,52438,OR,2025-02-10,Commercial Auto,Rate Increase,10.0,2025-05-28,1.0,1.1,"OR-South, OR-Central",9.1,1640,1804,Premium Above Market Avg,Mid-Tier,Actuarial Department,Pending,
Blue Harbor Assurance,52438,VA,2024-09-15,Commercial Auto,Rate Increase,4.9,2024-12-19,1.0,1.049,"VA-North, VA-Central",4.2,2170,2276,Premium Above Market Avg,Mid-Tier,Actuarial Department,Approved,2024-11-28
Blue Harbor Assurance,52438,WA,2025-06-19,Commercial Auto,New Filing,0.0,2025-09-13,1.0,1.0,"WA-Central, WA-North",5.4,1447,1447,At Market Avg,Premium,Actuarial Department,Approved,2025-08-26
Blue Harbor Assurance,52438,CA,2024-05-10,Homeowners,Rate Decrease,-2.0,2024-07-25,1.0,0.98,"CA-East, CA-North",5.4,3084,3022,At Market Avg,Premium,Actuarial Department,Approved,2024-06-01
Blue Harbor Assurance,52438,FL,2024-05-18,Homeowners,Rate Increase,11.4,2024-06-28,1.0,1.114,"FL-West, FL-South, FL-East",4.3,2996,3338,Premium Above Market Avg,Budget,Actuarial Department,Approved,2024-07-15
Blue Harbor Assurance,52438,MA,2025-05-08,Homeowners,Rate Increase,1.9,2025-08-23,1.0,1.019,"MA-East, MA-Central, MA-North",3.3,1897,1933,At Market Avg,Mid-Tier,Actuarial Department,Approved,2025-06-21
Blue Harbor Assurance,52438,MD,2025-06-30,Homeowners,Rate Increase,4.7,2025-09-19,1.0,1.047,"MD-West, MD-East, MD-South",8.2,2254,2360,Premium Above Market Avg,Premium,Actuarial Department,Approved,2025-09-17
Blue Harbor Assurance,52438,NC,2024-10-21,Homeowners,Rate Increase,7.4,2025-01-10,1.0,1.074,"NC-Central, NC-South",2.8,3441,3696,Premium Above Market Avg,Mid-Tier,Actuarial Department,Approved,2024-12-18
Blue Harbor Assurance,52438,NJ,2024-06-27,Homeowners,New Filing,0.0,2024-09-13,1.0,1.0,"NJ-East, NJ-North",5.3,1188,1188,At Market Avg,Mid-Tier,Actuarial Department,Approved,2024-07-24
Blue Harbor Assurance,52438,NY,2025-12-06,Homeowners,Rate Decrease,-4.7,2026-02-11,1.0,0.953,"NY-Central, NY-South, NY-West",3.5,2081,1983,Premium Below Market Avg,Budget,Actuarial Department,Approved,2026-02-09
Blue Harbor Assurance,52438,OR,2025-04-09,Homeowners,Rate Increase,7.1,2025-07-14,1.0,1.071,"OR-East, OR-Central",4.9,1672,1791,Premium Above Market Avg,Budget,Actuarial Department,Approved,2025-06-02
Blue Harbor Assurance,52438,VA,2024-08-23,Homeowners,Rate Decrease,-7.7,2024-10-28,1.0,0.923,"VA-East, VA-North",5.8,2643,2439,Premium Below Market Avg,Mid-Tier,Actuarial Department,Rejected,
Blue Harbor Assurance,52438,WA,2025-09-30,Homeowners,Rate Increase,5.2,2026-01-24,1.0,1.052,"WA-South, WA-Central",1.9,3439,3618,Premium Above Market Avg,Premium,Actuarial Department,Approved,2026-01-05
Blue Harbor Assurance,52438,CA,2024-08-31,Personal Auto,Rate Increase,6.3,2024-12-19,1.0,1.063,"CA-West, CA-South",8.8,1520,1616,Premium Above Market Avg,Mid-Tier,Actuarial Department,Approved,2024-10-02
Blue Harbor Assurance,52438,FL,2024-08-31,Personal Auto,Rate Increase,7.3,2024-11-06,1.0,1.073,"FL-East, FL-South",2.7,1013,1087,Premium Above Market Avg,Mid-Tier,Actuarial Department,Approved,2024-11-01
Blue Harbor Assurance,52438,MA,2025-07-24,Personal Auto,Rate Increase,10.2,2025-11-15,1.0,1.102,"MA-North, MA-South",5.2,1150,1267,Premium Above Market Avg,Premium,Actuarial Department,Pending,
Blue Harbor Assurance,52438,MD,2024-12-08,Personal Auto,New Filing,0.0,2025-03-02,1.0,1.0,"MD-South, MD-Central",2.8,1067,1067,At Market Avg,Premium,Actuarial Department,Approved,2025-02-03
Blue Harbor Assurance,52438,NC,2024-05-12,Personal Auto,Rate Increase,8.8,2024-07-22,1.0,1.088,"NC-East, NC-North",8.7,1352,1471,Premium Above Market Avg,Mid-Tier,Actuarial Department,Approved,2024-06-29
Blue Harbor Assurance,52438,NJ,2025-03-30,Personal Auto,Rate Decrease,-6.6,2025-07-24,1.0,0.934,"NJ-South, NJ-East, NJ-West",5.4,1532,1431,Premium Below Market Avg,Budget,Actuarial Department,Approved,2025-06-03
Blue Harbor Assurance,52438,NY,2025-09-05,Personal Auto,Rate Increase,9.7,2025-11-12,1.0,1.097,"NY-East, NY-North",1.0,1508,1654,Premium Above Market Avg,Mid-Tier,Actuarial Department,Approved,2025-10-21
Blue Harbor Assurance,52438,OR,2025-09-04,Personal Auto,Rate Increase,8.3,2025-10-16,1.0,1.083,"OR-North, OR-South",6.5,1081,1171,Premium Above Market Avg,Premium,Actuarial Department,Approved,2025-10-27
Blue Harbor Assurance,52438,VA,2025-01-22,Personal Auto,Rate Decrease,-7.9,2025-03-02,1.0,0.921,"VA-South, VA-Central",4.6,1372,1264,Premium Below Market Avg,Mid-Tier,Actuarial Department,Approved,2025-03-18
Blue Harbor Assurance,52438,WA,2025-12-01,Personal Auto,Rate Increase,5.3,2026-03-08,1.0,1.053,"WA-West, WA-South",5.2,1174,1236,Premium Above Market Avg,Mid-Tier,Actuarial Department,Approved,2026-02-10
Blue Harbor Assurance,52438,CA,2025-11-30,Workers Comp,New Filing,0.0,2026-03-02,1.0,1.0,"CA-East, CA-West",4.8,2635,2635,At Market Avg,Premium,Actuarial Department,Approved,2026-02-18
Blue Harbor Assurance,52438,FL,2025-09-28,Workers Comp,New Filing,0.0,2025-12-27,1.0,1.0,"FL-North, FL-West",13.1,2779,2779,At Market Avg,Premium,Actuarial Department,Approved,2025-11-07
Blue Harbor Assurance,52438,MA,2024-11-06,Workers Comp,New Filing,0.0,2025-02-19,1.0,1.0,"MA-Central, MA-East",2.8,1002,1002,At Market Avg,Mid-Tier,Actuarial Department,Rejected,
Blue Harbor Assurance,52438,MD,2025-12-09,Workers Comp,Rate Increase,10.7,2026-03-10,1.0,1.107,"MD-North, MD-East",0.9,2283,2527,Premium Above Market Avg,Premium,Actuarial Department,Pending,
Blue Harbor Assurance,52438,NC,2025-04-23,Workers Comp,Rate Increase,11.2,2025-07-24,1.0,1.112,"NC-Central, NC-West",3.7,2622,2916,Premium Above Market Avg,Budget,Actuarial Department,Rejected,
Blue Harbor Assurance,52438,NJ,2024-07-16,Workers Comp,Rate Decrease,-6.8,2024-08-26,1.0,0.932,"NJ-East, NJ-North",2.0,2619,2441,Premium Below Market Avg,Budget,Actuarial Department,Approved,2024-08-10
Blue Harbor Assurance,52438,NY,2024-12-14,Workers Comp,New Filing,0.0,2025-03-16,1.0,1.0,"NY-East, NY-South",7.2,2519,2519,At Market Avg,Mid-Tier,Actuarial Department,Approved,2025-02-08
Blue Harbor Assurance,52438,OR,2024-08-23,Workers Comp,Rate Increase,10.6,2024-11-24,1.0,1.106,"OR-Central, OR-North",0.6,1681,1859,Premium Above Market Avg,Premium,Actuarial Department,Approved,2024-10-19
Blue Harbor Assurance,52438,VA,2025-08-20,Workers Comp,Rate Increase,12.0,2025-12-08,1.0,1.12,"VA-Central, VA-West",2.3,1383,1549,Premium Above Market Avg,Budget,Actuarial Department,Pending,
Blue Harbor Assurance,52438,WA,2025-05-12,Workers Comp,Rate Increase,5.8,2025-07-01,1.0,1.058,"WA-East, WA-North, WA-Central",7.6,965,1021,Premium Above Market Avg,Mid-Tier,Actuarial Department,Approved,2025-06-16
Cedar Ridge Insurance,37516,CA,2024-11-19,Commercial Auto,Rate Increase,2.8,2025-03-17,1.0,1.028,"CA-Central, CA-North, CA-South",4.9,952,979,At Market Avg,Premium,Actuarial Department,Approved,2025-01-27
Cedar Ridge Insurance,37516,FL,2024-09-25,Commercial Auto,Rate Increase,7.6,2025-01-16,1.0,1.076,"FL-West, FL-Central",0.9,1628,1752,Premium Above Market Avg,Budget,Actuarial Department,Approved,2024-11-28
Cedar Ridge Insurance,37516,MA,2025-10-21,Commercial Auto,Rate Decrease,-6.3,2025-12-30,1.0,0.937,"MA-Central, MA-West",6.5,1237,1159,Premium Below Market Avg,Mid-Tier,Actuarial Department,Pending,
Cedar Ridge Insurance,37516,MD,2024-12-23,Commercial Auto,Rate Increase,6.7,2025-02-23,1.0,1.067,"MD-East, MD-South, MD-Central",8.3,1973,2105,Premium Above Market Avg,Premium,Actuarial Department,Approved,2025-01-15
Cedar Ridge Insurance,37516,NC,2024-07-07,Commercial Auto,Rate Increase,7.0,2024-10-20,1.0,1.07,"NC-North, NC-South, NC-West",8.8,1776,1900,Premium Above Market Avg,Premium,Actuarial Department,Approved,2024-08-28
Cedar Ridge Insurance,37516,NJ,2024-05-09,Commercial Auto,Rate Increase,1.7,2024-09-02,1.0,1.017,"NJ-East, NJ-Central",6.9,1594,1621,At Market Avg,Budget,Actuarial Department,Approved,2024-06-10
Cedar Ridge Insurance,37516,NY,2025-10-26,Commercial Auto,New Filing,0.0,2026-01-22,1.0,1.0,"NY-West, NY-North",6.4,2088,2088,At Market Avg,Mid-Tier,Actuarial Department,Approved,2026-01-06
Cedar Ridge Insurance,37516,OR,2024-09-24,Commercial Auto,Rate Increase,6.7,2024-11-28,1.0,1.067,"OR-South, OR-North",3.1,2360,2518,Premium Above Market Avg,Budget,Actuarial Department,Approved,2024-11-16
Cedar Ridge Insurance,37516,VA,2025-09-27,Commercial Auto,Rate Increase,7.6,2025-12-07,1.0,1.076,"VA-West, VA-East",5.2,1849,1990,Premium Above Market Avg,Mid-Tier,Actuarial Department,Approved,2025-11-19
Cedar Ridge Insurance,37516,WA,2024-09-17,Commercial Auto,Rate Increase,11.7,2024-12-21,1.0,1.117,"WA-East, WA-Central, WA-North",0.6,2314,2585,Premium Above Market Avg,Mid-Tier,Actuarial Department,Approved,2024-11-03
Cedar Ridge Insurance,37516,CA,2025-04-21,Homeowners,Rate Increase,3.7,2025-07-02,1.0,1.037,"CA-West, CA-South, CA-Central",12.8,2976,3086,Premium Above Market Avg,Mid-Tier,Actuarial Department,Approved,2025-06-30
Cedar Ridge Insurance,37516,FL,2025-01-01,Homeowners,Rate Increase,4.0,2025-02-01,1.0,1.04,"FL-South, FL-North",1.3,1348,1402,Premium Above Market Avg,Mid-Tier,Actuarial Department,Approved,2025-01-30
Cedar Ridge Insurance,37516,MA,2024-12-23,Homeowners,New Filing,0.0,2025-03-05,1.0,1.0,"MA-East, MA-South",1.0,2377,2377,At Market Avg,Budget,Actuarial Department,Approved,2025-02-27
Cedar Ridge Insurance,37516,MD,2025-05-05,Homeowners,Rate Increase,3.1,2025-06-11,1.0,1.031,"MD-East, MD-North",6.3,2293,2364,Premium Above Market Avg,Mid-Tier,Actuarial Department,Pending,
Cedar Ridge Insurance,37516,NC,2025-12-04,Homeowners,Rate Increase,9.8,2026-03-11,1.0,1.098,"NC-East, NC-North",4.4,2552,2802,Premium Above Market Avg,Mid-Tier,Actuarial Department,Pending,
Cedar Ridge Insurance,37516,NJ,2024-07-23,Homeowners,Rate Decrease,-6.5,2024-11-06,1.0,0.935,"NJ-West, NJ-North",7.5,3185,2978,Premium Below Market Avg,Mid-Tier,Actuarial Department,Approved,2024-11-04
Cedar Ridge Insurance,37516,NY,2024-06-29,Homeowners,Rate Increase,5.4,2024-08-18,1.0,1.054,"NY-Central, NY-South",0.3,1504,1585,Premium Above Market Avg,Mid-Tier,Actuarial Department,Pending,
Cedar Ridge Insurance,37516,OR,2024-04-28,Homeowners,Rate Increase,11.5,2024-08-01,1.0,1.115,"OR-South, OR-East",2.5,2559,2853,Premium Above Market Avg,Premium,Actuarial Department,Pending,
Cedar Ridge Insurance,37516,VA,2025-09-05,Homeowners,Rate Decrease,-4.6,2025-10-25,1.0,0.954,"VA-Central, VA-North",1.0,1567,1495,Premium Below Market Avg,Budget,Actuarial Department,Approved,2025-10-30
Cedar Ridge Insurance,37516,WA,2025-10-16,Homeowners,New Filing,0.0,2025-12-12,1.0,1.0,"WA-North, WA-South",5.5,1396,1396,At Market Avg,Premium,Actuarial Department,Pending,
Cedar Ridge Insurance,37516,CA,2024-10-01,Personal Auto,Rate Decrease,-1.7,2024-12-11,1.0,0.983,"CA-South, CA-North",2.3,802,788,At Market Avg,Mid-Tier,Actuarial Department,Approved,2024-11-15
Cedar Ridge Insurance,37516,FL,2024-05-21,Personal Auto,Rate Increase,7.7,2024-07-31,1.0,1.077,"FL-East, FL-West, FL-South",9.8,1448,1559,Premium Above Market Avg,Premium,Actuarial Department,Approved,2024-07-23
Cedar Ridge Insurance,37516,MA,2025-11-07,Personal Auto,Rate Decrease,-7.0,2025-12-27,1.0,0.93,"MA-North, MA-Central",8.5,847,788,Premium Below Market Avg,Budget,Actuarial Department,Approved,2025-12-13
Cedar Ridge Insurance,37516,MD,2025-10-31,Personal Auto,Rate Increase,8.9,2026-02-12,1.0,1.089,"MD-North, MD-West, MD-South",4.0,869,946,Premium Above Market Avg,Premium,Actuarial Department,Approved,2026-01-25
Cedar Ridge Insurance,37516,NC,2025-06-24,Personal Auto,Rate Decrease,-4.1,2025-09-21,1.0,0.959,"NC-North, NC-Central",7.4,1059,1016,Premium Below Market Avg,Mid-Tier,Actuarial Department,Approved,2025-09-07
Cedar Ridge Insurance,37516,NJ,2024-11-20,Personal Auto,New Filing,0.0,2025-03-16,1.0,1.0,"NJ-West, NJ-South",7.3,1138,1138,At Market Avg,Premium,Actuarial Department,Approved,2024-12-26
Cedar Ridge Insurance,37516,NY,2025-09-22,Personal Auto,New Filing,0.0,2025-11-13,1.0,1.0,"NY-Central, NY-South",2.6,1492,1492,At Market Avg,Mid-Tier,Actuarial Department,Approved,2025-11-07
Cedar Ridge Insurance,37516,OR,2025-08-19,Personal Auto,Rate Increase,4.8,2025-12-11,1.0,1.048,"OR-Central, OR-South",2.3,929,974,Premium Above Market Avg,Premium,Actuarial Department,Approved,2025-10-15
Cedar Ridge Insurance,37516,VA,2024-12-20,Personal Auto,Rate Increase,6.9,2025-03-04,1.0,1.069,"VA-North, VA-South",4.0,818,874,Premium Above Market Avg,Budget,Actuarial Department,Approved,2025-01-31
Cedar Ridge Insurance,37516,WA,2025-01-16,Personal Auto,Rate Decrease,-1.9,2025-04-09,1.0,0.981,"WA-West, WA-South",6.7,1094,1073,At Market Avg,Budget,Actuarial Department,Approved,2025-03-05
Cedar Ridge Insurance,37516,CA,2025-11-26,Workers Comp,Rate Increase,9.5,2026-01-07,1.0,1.095,"CA-South, CA-West, CA-North",4.9,2085,2283,Premium Above Market Avg,Budget,Actuarial Department,Approved,2026-01-02
Cedar Ridge Insurance,37516,FL,2025-01-03,Workers Comp,Rate Decrease,-3.1,2025-04-29,1.0,0.969,"FL-West, FL-Central",3.2,1970,1909,Premium Below Market Avg,Premium,Actuarial Department,Pending,
Cedar Ridge Insurance,37516,MA,2025-04-19,Workers Comp,Rate Increase,2.9,2025-06-23,1.0,1.029,"MA-East, MA-West",12.4,1911,1966,At Market Avg,Budget,Actuarial Department,Approved,2025-05-04
Cedar Ridge Insurance,37516,MD,2025-11-20,Workers Comp,Rate Increase,1.2,2026-03-08,1.0,1.012,"MD-West, MD-North",2.1,2673,2705,At Market Avg,Budget,Actuarial Department,Approved,2026-01-05
Cedar Ridge Insurance,37516,NC,2025-11-10,Workers Comp,Rate Increase,8.2,2026-01-30,1.0,1.082,"NC-South, NC-East, NC-West",5.6,1487,1609,Premium Above Market Avg,Premium,Actuarial Department,Approved,2026-01-18
Cedar Ridge Insurance,37516,NJ,2025-02-03,Workers Comp,Rate Decrease,-5.6,2025-05-02,1.0,0.944,"NJ-East, NJ-Central",7.8,1831,1728,Premium Below Market Avg,Budget,Actuarial Department,Approved,2025-04-18
Cedar Ridge Insurance,37516,NY,2025-05-15,Workers Comp,Rate Increase,1.8,2025-07-07,1.0,1.018,"NY-South, NY-West",3.3,1289,1312,At Market Avg,Budget,Actuarial Department,Approved,2025-06-28
Cedar Ridge Insurance,37516,OR,2025-04-12,Workers Comp,Rate Increase,5.7,2025-07-31,1.0,1.057,"OR-South, OR-East",3.9,2252,2380,Premium Above Market Avg,Mid-Tier,Actuarial Department,Approved,2025-06-19
Cedar Ridge Insurance,37516,VA,2024-09-21,Workers Comp,Rate Increase,6.2,2024-10-22,1.0,1.062,"VA-North, VA-Central",4.6,2849,3026,Premium Above Market Avg,Budget,Actuarial Department,Approved,2024-10-17
