Company,LOB,Date,Currency,State,NetEarnedPremium_MUSD,NetWrittenPremium_MUSD,GrossWrittenPremium_MUSD,ClaimPaid_MUSD,LAE_MUSD,LossRatio_Pct,Expenses_MUSD,Retention_Ratio_Pct,Combined_Ratio_Pct,AvgSettlementDays,LitigationRate_Pct,ClaimSettlementRatio_Pct,RenewalRate_Pct,NewPoliciesIssued_Pct
Atlas Mutual Insurance,Commercial Auto,12/31/2023,USD,OR,104,106,115,72,8,76.9,25,92.17,100.96,34,13.55,90.47,8.82,2.47
Atlas Mutual Insurance,Commercial Auto,12/31/2024,USD,OR,96,99,104,63,6,71.9,21,95.19,93.75,23,7.41,94.24,10.6,9.52
Atlas Mutual Insurance,Commercial Auto,12/31/2023,USD,VA,45,46,51,31,4,77.8,11,90.2,102.22,40,6.47,92.57,10.88,2.46
Atlas Mutual Insurance,Commercial Auto,12/31/2024,USD,VA,526,542,569,346,34,72.2,109,95.25,92.97,20,14.18,91.47,10.9,8.29
Atlas Mutual Insurance,Commercial Auto,12/31/2023,USD,WA,347,356,388,241,28,77.5,98,91.75,105.76,42,9.95,93.62,10.46,2.02
Atlas Mutual Insurance,Commercial Auto,12/31/2024,USD,WA,340,350,368,224,22,72.4,89,95.11,98.53,27,10.03,90.9,11.25,9.43
Atlas Mutual Insurance,Homeowners,12/31/2023,USD,CA,2959,3017,3047,1982,252,75.5,1065,99.02,111.49,19,0.53,95.8,12.23,1.6
Atlas Mutual Insurance,Homeowners,12/31/2024,USD,CA,2800,2855,2884,1827,182,71.8,1002,98.99,107.54,24,0.32,95.78,11.53,3.87
Atlas Mutual Insurance,Homeowners,12/31/2023,USD,FL,782,797,805,524,66,75.4,282,99.01,111.51,21,0.48,95.14,12.94,1.01
Atlas Mutual Insurance,Homeowners,12/31/2024,USD,FL,1764,1798,1816,1151,115,71.8,596,99.01,105.56,25,0.37,95.6,10.79,2.61
Atlas Mutual Insurance,Homeowners,12/31/2023,USD,MA,59,60,61,39,5,74.6,21,98.36,110.17,17,0.38,94.96,12.47,1.07
Atlas Mutual Insurance,Homeowners,12/31/2024,USD,MA,282,287,290,184,18,71.6,104,98.97,108.51,29,0.38,97.88,14.68,3.38
Atlas Mutual Insurance,Homeowners,12/31/2023,USD,MD,7578,7728,7805,5075,644,75.5,2728,99.01,111.47,20,0.43,95.31,11.76,1.06
Atlas Mutual Insurance,Homeowners,12/31/2024,USD,MD,386,393,397,252,25,71.8,141,98.99,108.29,27,0.56,95.98,10.31,2.66
Atlas Mutual Insurance,Homeowners,12/31/2023,USD,NC,2744,2798,2826,1838,233,75.5,988,99.01,111.48,24,0.41,94.64,15,1.15
Atlas Mutual Insurance,Homeowners,12/31/2024,USD,NC,284,289,292,185,18,71.5,102,98.97,107.39,29,0.83,96.37,10.44,2.1
Atlas Mutual Insurance,Homeowners,12/31/2023,USD,NJ,188,191,193,126,16,75.5,68,98.96,111.7,23,0.44,95.72,14.87,1.31
Atlas Mutual Insurance,Homeowners,12/31/2024,USD,NJ,3415,3482,3517,2229,222,71.8,1126,99,104.74,17,0.74,98,11.21,4.92
Atlas Mutual Insurance,Homeowners,12/31/2023,USD,NY,4223,4306,4349,2828,359,75.5,1520,99.01,111.46,17,0.44,96.09,10.63,1.93
Atlas Mutual Insurance,Homeowners,12/31/2024,USD,NY,448,456,461,292,29,71.7,154,98.92,106.03,20,0.71,97.88,14.32,2.71
Atlas Mutual Insurance,Homeowners,12/31/2023,USD,OR,3655,3727,3764,2448,311,75.5,1316,99.02,111.49,23,0.69,95.79,12.25,1.57
Atlas Mutual Insurance,Homeowners,12/31/2024,USD,OR,1882,1919,1938,1228,122,71.7,606,99.02,103.93,19,0.35,97.37,12.48,3.87
Atlas Mutual Insurance,Homeowners,12/31/2023,USD,VA,4167,4249,4291,2790,354,75.4,1500,99.02,111.45,19,0.4,94.33,13.48,1.77
Atlas Mutual Insurance,Homeowners,12/31/2024,USD,VA,5063,5163,5215,3304,329,71.8,1659,99,104.52,26,0.42,95.36,13.69,2.93
Atlas Mutual Insurance,Homeowners,12/31/2023,USD,WA,728,743,750,488,62,75.5,262,99.07,111.54,19,0.85,96.76,13.87,1.92
Atlas Mutual Insurance,Homeowners,12/31/2024,USD,WA,201,204,206,131,13,71.6,71,99.03,106.97,21,0.56,96.93,11.91,3.02
Atlas Mutual Insurance,Personal Auto,12/31/2023,USD,CA,10230,10536,11763,6684,818,73.3,3324,89.57,105.83,15,2.64,96.22,10.5,2.12
Atlas Mutual Insurance,Personal Auto,12/31/2024,USD,CA,327,336,371,209,25,71.6,101,90.57,102.45,14,3.25,97.38,12.19,5.14
Atlas Mutual Insurance,Personal Auto,12/31/2023,USD,FL,1663,1712,1911,1086,133,73.3,526,89.59,104.93,21,3.52,95.99,13.65,2.64
Atlas Mutual Insurance,Personal Auto,12/31/2024,USD,FL,819,844,933,524,61,71.4,244,90.46,101.22,17,3.51,95.97,13.43,5.27
Atlas Mutual Insurance,Personal Auto,12/31/2023,USD,MA,1413,1454,1624,923,113,73.3,451,89.53,105.24,18,3.59,94.08,10.5,2.18
Atlas Mutual Insurance,Personal Auto,12/31/2024,USD,MA,92,95,105,59,7,71.7,27,90.48,101.09,22,2.03,95.61,14.57,9.07
Atlas Mutual Insurance,Personal Auto,12/31/2023,USD,MD,7873,8109,9054,5144,630,73.3,2461,89.56,104.6,10,2.79,94.57,10.72,2.39
Atlas Mutual Insurance,Personal Auto,12/31/2024,USD,MD,244,251,278,156,18,71.3,73,90.29,101.23,15,3,95.55,13.1,6.09
Atlas Mutual Insurance,Personal Auto,12/31/2023,USD,NC,1471,1515,1691,961,118,73.4,463,89.59,104.83,24,2.2,95.97,13.71,2.32
Atlas Mutual Insurance,Personal Auto,12/31/2024,USD,NC,576,593,656,368,43,71.4,175,90.4,101.74,21,2.9,96.56,13.58,8.17
Atlas Mutual Insurance,Personal Auto,12/31/2023,USD,NJ,2196,2262,2526,1435,176,73.4,700,89.55,105.24,23,2.05,95.07,10.37,2.88
Atlas Mutual Insurance,Personal Auto,12/31/2024,USD,NJ,2553,2630,2908,1633,192,71.5,783,90.44,102.15,17,3.91,97.64,11.06,8.28
Atlas Mutual Insurance,Personal Auto,12/31/2023,USD,NY,6556,6753,7540,4283,524,73.3,2124,89.56,105.72,20,3.66,96.75,14.35,2.15
Atlas Mutual Insurance,Personal Auto,12/31/2024,USD,NY,1514,1559,1724,968,114,71.5,449,90.43,101.12,24,2.9,95.15,14.44,6.77
Atlas Mutual Insurance,Personal Auto,12/31/2023,USD,OR,973,1002,1119,636,78,73.4,318,89.54,106.06,18,3.1,96.21,14.19,2.68
Atlas Mutual Insurance,Personal Auto,12/31/2024,USD,OR,1681,1731,1914,1075,126,71.4,515,90.44,102.08,12,3.03,95.04,11.65,8.08
Atlas Mutual Insurance,Personal Auto,12/31/2023,USD,VA,1969,2028,2264,1286,158,73.3,626,89.58,105.13,21,3.96,95.22,10.92,3
Atlas Mutual Insurance,Personal Auto,12/31/2024,USD,VA,686,707,782,439,51,71.4,203,90.41,101.02,10,3.91,96.4,10.53,6.2
Atlas Mutual Insurance,Personal Auto,12/31/2023,USD,WA,207,213,238,135,17,73.4,67,89.5,105.8,20,2.86,96.27,12.97,2.69
Atlas Mutual Insurance,Personal Auto,12/31/2024,USD,WA,1040,1071,1185,665,78,71.4,305,90.38,100.77,16,2.82,97.87,14.86,9.65
Atlas Mutual Insurance,Workers Comp,12/31/2023,USD,CA,126,128,154,88,9,77,30,83.12,100.79,87,10.78,95.17,-1.47,1.59
Atlas Mutual Insurance,Workers Comp,12/31/2024,USD,CA,560,570,669,373,36,73,129,85.2,96.07,212,13.32,97.92,-1.47,0.21
Atlas Mutual Insurance,Workers Comp,12/31/2023,USD,FL,12,13,17,8,1,75,3,76.47,100,254,11.23,96.02,-1.47,1.18
Atlas Mutual Insurance,Workers Comp,12/31/2024,USD,FL,1182,1205,1413,786,77,73,295,85.28,97.97,604,13.34,95.01,-1.47,0.09
Atlas Mutual Insurance,Workers Comp,12/31/2023,USD,MA,30,31,38,21,2,76.7,8,81.58,103.33,309,13.2,95.04,-1.47,1.83
Atlas Mutual Insurance,Workers Comp,12/31/2024,USD,MA,371,377,442,247,24,73,94,85.29,98.38,211,11.44,97.66,-1.47,0.14
Atlas Mutual Insurance,Workers Comp,12/31/2023,USD,MD,75,76,92,53,5,77.3,18,82.61,101.33,381,15.38,96.98,-1.47,0.53
Atlas Mutual Insurance,Workers Comp,12/31/2024,USD,MD,950,968,1135,632,62,73.1,235,85.29,97.79,631,10.22,96.11,-1.47,0.04
Atlas Mutual Insurance,Workers Comp,12/31/2023,USD,NC,6,7,10,4,0,66.7,1,70,83.33,130,10.98,94.59,-1.47,1.39
Atlas Mutual Insurance,Workers Comp,12/31/2024,USD,NC,2275,2319,2719,1513,148,73,531,85.29,96.35,336,12.05,98.18,-1.47,0.09
Atlas Mutual Insurance,Workers Comp,12/31/2023,USD,NJ,51,52,63,36,4,78.4,13,82.54,103.92,339,18.76,94.31,-1.47,0.8
Atlas Mutual Insurance,Workers Comp,12/31/2024,USD,NJ,1226,1249,1464,816,80,73.1,299,85.31,97.47,582,17.13,98.12,-1.47,0.38
Atlas Mutual Insurance,Workers Comp,12/31/2023,USD,NY,73,74,89,51,5,76.7,18,83.15,101.37,285,16.01,95.82,-1.47,1.13
Atlas Mutual Insurance,Workers Comp,12/31/2024,USD,NY,426,434,509,283,28,73,108,85.27,98.36,231,19.41,97.87,-1.47,0.24
Atlas Mutual Insurance,Workers Comp,12/31/2023,USD,OR,196,199,239,137,14,77,49,83.26,102.04,227,15.67,96.63,-1.47,1.91
Atlas Mutual Insurance,Workers Comp,12/31/2024,USD,OR,1017,1036,1214,677,66,73.1,251,85.34,97.74,236,19.65,95.2,-1.47,0.03
Atlas Mutual Insurance,Workers Comp,12/31/2023,USD,VA,21,22,27,15,1,76.2,5,81.48,100,219,11.86,97.14,-1.47,1.91
Atlas Mutual Insurance,Workers Comp,12/31/2024,USD,VA,1378,1405,1647,917,90,73.1,330,85.31,97.02,426,14.65,97.93,-1.47,0.4
Atlas Mutual Insurance,Workers Comp,12/31/2023,USD,WA,51,52,63,36,4,78.4,12,82.54,101.96,224,12.25,96.41,-1.47,0.96
Atlas Mutual Insurance,Workers Comp,12/31/2024,USD,WA,195,198,232,130,13,73.3,47,85.34,97.44,481,14.89,98.93,-1.47,0.45
Blue Harbor Assurance,Commercial Auto,12/31/2023,USD,CA,32,33,37,22,3,78.1,7,89.19,100,35,8.71,92.03,8.27,2.84
Blue Harbor Assurance,Commercial Auto,12/31/2024,USD,CA,520,536,563,342,34,72.3,125,95.2,96.35,25,10.71,91.39,8.94,5.61
Blue Harbor Assurance,Commercial Auto,12/31/2023,USD,FL,12,13,15,8,1,75,3,86.67,100,38,14.07,92.32,9.07,2.87
Blue Harbor Assurance,Commercial Auto,12/31/2024,USD,FL,334,344,361,220,22,72.5,75,95.29,94.91,21,14.43,91.1,9.93,7.77
Blue Harbor Assurance,Commercial Auto,12/31/2023,USD,MA,6,7,9,4,0,66.7,1,77.78,83.33,42,11.3,91.14,8.93,2.43
Blue Harbor Assurance,Commercial Auto,12/31/2024,USD,MA,751,774,814,494,49,72.3,171,95.09,95.07,23,5.49,91.63,8.54,8.92
Blue Harbor Assurance,Commercial Auto,12/31/2023,USD,MD,0,0,1,0,0,,0,0,,37,13.16,92.72,9.83,2.27
Blue Harbor Assurance,Commercial Auto,12/31/2024,USD,MD,91,94,99,60,6,72.5,24,94.95,98.9,21,7.42,90.45,8,7.19
Blue Harbor Assurance,Commercial Auto,12/31/2023,USD,NC,11,12,14,8,1,81.8,3,85.71,109.09,40,10.23,93.88,10.49,2.33
Blue Harbor Assurance,Commercial Auto,12/31/2024,USD,NC,452,466,490,297,29,72.1,126,95.1,100,20,11.13,90.81,10.75,6.63
Blue Harbor Assurance,Commercial Auto,12/31/2023,USD,NJ,4,5,6,3,0,75,1,83.33,100,36,7.18,89.88,9.59,2.14
Blue Harbor Assurance,Commercial Auto,12/31/2024,USD,NJ,90,93,98,59,6,72.2,22,94.9,96.67,26,6.93,92.06,10.09,9.73
Blue Harbor Assurance,Commercial Auto,12/31/2023,USD,NY,31,32,35,22,2,77.4,9,91.43,106.45,34,10.95,89.8,8.64,2.77
Blue Harbor Assurance,Commercial Auto,12/31/2024,USD,NY,368,379,399,242,24,72.3,80,94.99,94.02,16,11.62,94.47,10.65,5.41
Blue Harbor Assurance,Commercial Auto,12/31/2023,USD,OR,2,3,4,1,0,50,0,75,50,36,5.52,91.37,10.7,2.57
Blue Harbor Assurance,Commercial Auto,12/31/2024,USD,OR,996,1026,1078,655,65,72.3,208,95.18,93.17,21,7.97,90.4,8.05,7.01
Blue Harbor Assurance,Commercial Auto,12/31/2023,USD,VA,1,2,3,1,0,100,0,66.67,100,38,13.71,91.42,10.25,2.18
Blue Harbor Assurance,Commercial Auto,12/31/2024,USD,VA,101,104,109,66,7,72.3,25,95.41,97.03,26,6.23,91.17,11.75,9.18
Blue Harbor Assurance,Commercial Auto,12/31/2023,USD,WA,19,20,23,13,1,73.7,4,86.96,94.74,38,11.59,91.87,10.01,2.58
Blue Harbor Assurance,Commercial Auto,12/31/2024,USD,WA,23,24,26,15,1,69.6,6,92.31,95.65,26,6.99,94.5,11.61,9.49
Blue Harbor Assurance,Homeowners,12/31/2023,USD,CA,1300,1326,1339,871,111,75.5,468,99.03,111.54,23,0.83,94.76,12.07,1.78
Blue Harbor Assurance,Homeowners,12/31/2024,USD,CA,1566,1596,1612,1022,102,71.8,513,99.01,104.53,20,0.31,98,10.91,3.17
Blue Harbor Assurance,Homeowners,12/31/2023,USD,FL,992,1012,1022,664,84,75.4,357,99.02,111.39,21,0.56,96.21,14.1,1.41
Blue Harbor Assurance,Homeowners,12/31/2024,USD,FL,841,858,867,549,55,71.8,298,98.96,107.25,16,0.39,98,14.32,2.84
Blue Harbor Assurance,Homeowners,12/31/2023,USD,MA,323,329,332,216,27,75.2,116,99.1,111.15,29,0.46,95.37,10.92,1.92
Blue Harbor Assurance,Homeowners,12/31/2024,USD,MA,1243,1268,1281,811,81,71.8,425,98.99,105.95,25,0.39,95.46,11.09,3.91
Blue Harbor Assurance,Homeowners,12/31/2023,USD,MD,1211,1235,1247,811,103,75.5,436,99.04,111.48,22,0.56,96.33,11.83,1.72
Blue Harbor Assurance,Homeowners,12/31/2024,USD,MD,445,454,459,290,29,71.7,151,98.91,105.62,25,0.31,96.3,10.25,4.86
Blue Harbor Assurance,Homeowners,12/31/2023,USD,NC,69,70,71,46,6,75.4,25,98.59,111.59,20,0.78,94.77,13.56,1.74
Blue Harbor Assurance,Homeowners,12/31/2024,USD,NC,99,101,102,65,6,71.7,33,99.02,105.05,20,0.54,96.21,13.17,3.23
Blue Harbor Assurance,Homeowners,12/31/2023,USD,NJ,442,451,456,296,38,75.6,159,98.9,111.54,25,0.66,94.71,13.2,1.96
Blue Harbor Assurance,Homeowners,12/31/2024,USD,NJ,1117,1139,1150,729,73,71.8,393,99.04,106.98,25,0.71,95.6,10.51,5
Blue Harbor Assurance,Homeowners,12/31/2023,USD,NY,1205,1229,1241,807,102,75.4,434,99.03,111.45,23,0.73,95.47,14.31,1.55
Blue Harbor Assurance,Homeowners,12/31/2024,USD,NY,1330,1357,1371,868,86,71.7,450,98.98,105.56,20,0.22,97.18,10.57,3.9
Blue Harbor Assurance,Homeowners,12/31/2023,USD,OR,52,53,54,35,4,75,19,98.15,111.54,25,0.56,94.21,10.43,1.56
Blue Harbor Assurance,Homeowners,12/31/2024,USD,OR,308,314,317,201,20,71.8,100,99.05,104.22,27,0.54,95.95,14.05,3.88
Blue Harbor Assurance,Homeowners,12/31/2023,USD,VA,240,245,247,161,20,75.4,86,99.19,111.25,21,0.63,94.73,10.96,1.92
Blue Harbor Assurance,Homeowners,12/31/2024,USD,VA,1324,1351,1365,864,86,71.8,431,98.97,104.31,19,0.75,96.18,12.83,2.9
Blue Harbor Assurance,Homeowners,12/31/2023,USD,WA,378,386,390,253,32,75.4,136,98.97,111.38,24,0.39,96.29,10.26,1.52
Blue Harbor Assurance,Homeowners,12/31/2024,USD,WA,856,873,882,559,56,71.8,315,98.98,108.64,25,0.75,95.43,11.57,2.28
Blue Harbor Assurance,Personal Auto,12/31/2023,USD,CA,769,792,884,502,61,73.2,252,89.59,105.98,14,4,96.93,10.47,2.12
Blue Harbor Assurance,Personal Auto,12/31/2024,USD,CA,3511,3616,3999,2246,263,71.5,1067,90.42,101.85,11,2.31,95.87,10.87,9.45
Blue Harbor Assurance,Personal Auto,12/31/2023,USD,FL,3614,3722,4155,2361,289,73.3,1140,89.58,104.87,17,2.92,95.44,13.11,2.98
Blue Harbor Assurance,Personal Auto,12/31/2024,USD,FL,11046,11377,12582,7066,829,71.5,3417,90.42,102.41,18,2.38,98,10.66,6.47
Blue Harbor Assurance,Personal Auto,12/31/2023,USD,MA,442,455,508,289,35,73.3,144,89.57,105.88,13,3.74,95.97,10.3,2.68
Blue Harbor Assurance,Personal Auto,12/31/2024,USD,MA,534,550,609,342,40,71.5,163,90.31,102.06,20,2.11,97.7,12.82,7.77
Blue Harbor Assurance,Personal Auto,12/31/2023,USD,MD,1782,1835,2048,1164,143,73.3,568,89.6,105.22,18,2.25,96.77,14.78,2.49
Blue Harbor Assurance,Personal Auto,12/31/2024,USD,MD,1846,1901,2102,1181,139,71.5,545,90.44,101.03,30,2,95.64,11.65,7.69
Blue Harbor Assurance,Personal Auto,12/31/2023,USD,NC,2019,2080,2323,1319,161,73.3,630,89.54,104.51,16,3.13,94.79,10.78,2.7
Blue Harbor Assurance,Personal Auto,12/31/2024,USD,NC,1774,1827,2020,1135,133,71.5,546,90.45,102.25,25,2.78,97.49,10.67,9.79
Blue Harbor Assurance,Personal Auto,12/31/2023,USD,NJ,1234,1271,1419,806,99,73.3,394,89.57,105.27,26,3.6,96.65,13.47,2.86
Blue Harbor Assurance,Personal Auto,12/31/2024,USD,NJ,9824,10119,11190,6284,737,71.5,2889,90.43,100.88,17,3.4,97.07,12.95,6.87
Blue Harbor Assurance,Personal Auto,12/31/2023,USD,NY,1256,1294,1445,821,100,73.3,397,89.55,104.94,20,3.9,94.32,10.65,2.51
Blue Harbor Assurance,Personal Auto,12/31/2024,USD,NY,9765,10058,11123,6247,732,71.5,2945,90.43,101.63,26,3.44,96.55,13.69,7.94
Blue Harbor Assurance,Personal Auto,12/31/2023,USD,OR,1537,1583,1768,1004,123,73.3,482,89.54,104.68,10,3.67,95.87,11.26,2.52
Blue Harbor Assurance,Personal Auto,12/31/2024,USD,OR,813,837,925,520,61,71.5,250,90.49,102.21,20,2,96.3,13.79,9.63
Blue Harbor Assurance,Personal Auto,12/31/2023,USD,VA,329,339,378,215,26,73.3,107,89.68,105.78,21,2.06,96.37,12.4,2.46
Blue Harbor Assurance,Personal Auto,12/31/2024,USD,VA,9376,9657,10680,5998,703,71.5,2854,90.42,101.91,21,3.09,97.45,10.84,5.91
Blue Harbor Assurance,Personal Auto,12/31/2023,USD,WA,1946,2004,2237,1271,156,73.3,620,89.58,105.19,24,2.91,95.9,12.87,2.16
Blue Harbor Assurance,Personal Auto,12/31/2024,USD,WA,280,288,319,179,21,71.4,85,90.28,101.79,29,2.25,97.38,12.56,7.62
Blue Harbor Assurance,Workers Comp,12/31/2023,USD,CA,1421,1448,1740,995,99,77,352,83.22,101.76,174,11.9,97.05,-1.47,1.02
Blue Harbor Assurance,Workers Comp,12/31/2024,USD,CA,343,349,409,228,22,72.9,86,85.33,97.96,584,13.02,96.02,-1.47,0.41
Blue Harbor Assurance,Workers Comp,12/31/2023,USD,FL,413,420,505,289,29,77,96,83.17,100.24,301,18.73,95.66,-1.47,1.72
Blue Harbor Assurance,Workers Comp,12/31/2024,USD,FL,129,131,153,86,8,72.9,31,85.62,96.9,420,17.6,96.25,-1.47,0.38
Blue Harbor Assurance,Workers Comp,12/31/2023,USD,MA,260,264,318,182,18,76.9,60,83.02,100,318,15.88,94.07,-1.47,1.95
Blue Harbor Assurance,Workers Comp,12/31/2024,USD,MA,82,83,98,55,5,73.2,20,84.69,97.56,321,17.26,98.49,-1.47,0.49
Blue Harbor Assurance,Workers Comp,12/31/2023,USD,MD,114,115,138,80,8,77.2,27,83.33,100.88,136,17.13,94.39,-1.47,1.6
Blue Harbor Assurance,Workers Comp,12/31/2024,USD,MD,96,97,114,64,6,72.9,22,85.09,95.83,290,18.24,95.74,-1.47,0.32
Blue Harbor Assurance,Workers Comp,12/31/2023,USD,NC,320,325,390,224,22,76.9,75,83.33,100.31,192,12.71,94.22,-1.47,0.13
Blue Harbor Assurance,Workers Comp,12/31/2024,USD,NC,237,241,282,158,15,73,59,85.46,97.89,340,19.21,97.66,-1.47,0.47
Blue Harbor Assurance,Workers Comp,12/31/2023,USD,NJ,665,677,814,466,47,77.1,156,83.17,100.6,135,13.56,95.14,-1.47,0.45
Blue Harbor Assurance,Workers Comp,12/31/2024,USD,NJ,39,40,48,26,3,74.4,10,83.33,100,214,13.99,98.02,-1.47,0.49
Blue Harbor Assurance,Workers Comp,12/31/2023,USD,NY,686,699,840,480,48,77,170,83.21,101.75,356,14.22,96.26,-1.47,1.79
Blue Harbor Assurance,Workers Comp,12/31/2024,USD,NY,1071,1091,1279,712,70,73,257,85.3,97.01,323,17.14,95.22,-1.47,0.15
Blue Harbor Assurance,Workers Comp,12/31/2023,USD,OR,308,313,376,216,22,77.3,76,83.24,101.95,321,17.32,95.41,-1.47,1.47
Blue Harbor Assurance,Workers Comp,12/31/2024,USD,OR,25,26,31,17,2,76,6,83.87,100,591,18.23,97.21,-1.47,0.43
Blue Harbor Assurance,Workers Comp,12/31/2023,USD,VA,885,902,1084,619,62,76.9,229,83.21,102.82,409,17.86,96.23,-1.47,1.47
Blue Harbor Assurance,Workers Comp,12/31/2024,USD,VA,314,319,374,209,20,72.9,77,85.29,97.45,402,13.12,97.34,-1.47,0.41
Blue Harbor Assurance,Workers Comp,12/31/2023,USD,WA,1377,1404,1688,964,96,77,349,83.18,102.32,545,11.7,95.93,-1.47,1.3
Blue Harbor Assurance,Workers Comp,12/31/2024,USD,WA,389,396,464,259,25,73,90,85.34,96.14,493,18.99,96.1,-1.47,0.38
Cedar Ridge Insurance,Commercial Auto,12/31/2023,USD,CA,1011,1040,1131,703,81,77.5,251,91.95,102.37,40,12.69,89.24,10.38,2.96
Cedar Ridge Insurance,Commercial Auto,12/31/2024,USD,CA,66,68,72,43,4,71.2,16,94.44,95.45,24,9.64,94.63,9.66,9.7
Cedar Ridge Insurance,Commercial Auto,12/31/2023,USD,FL,270,277,302,188,22,77.8,79,91.72,107.04,35,8.69,91,8.94,2.11
Cedar Ridge Insurance,Commercial Auto,12/31/2024,USD,FL,27,28,30,18,2,74.1,7,93.33,100,19,6.87,93.4,11.49,9.25
Cedar Ridge Insurance,Commercial Auto,12/31/2023,USD,MA,627,645,701,436,50,77.5,155,92.01,102.23,40,14.66,91.78,10.72,2.4
Cedar Ridge Insurance,Commercial Auto,12/31/2024,USD,MA,35,36,38,23,2,71.4,8,94.74,94.29,19,6.41,91.27,8.75,5
Cedar Ridge Insurance,Commercial Auto,12/31/2023,USD,MD,1053,1084,1179,732,84,77.5,246,91.94,100.85,36,14.22,91.96,9.34,2.51
Cedar Ridge Insurance,Commercial Auto,12/31/2024,USD,MD,81,83,87,53,5,71.6,20,95.4,96.3,22,13.91,92.11,10.61,9.47
Cedar Ridge Insurance,Commercial Auto,12/31/2023,USD,NC,7,8,10,5,1,85.7,2,80,114.29,39,12.8,92.2,9.3,2.13
Cedar Ridge Insurance,Commercial Auto,12/31/2024,USD,NC,11,12,14,7,1,72.7,2,85.71,90.91,17,7.95,91.06,11.32,7.07
Cedar Ridge Insurance,Commercial Auto,12/31/2023,USD,NJ,480,493,536,334,38,77.5,136,91.98,105.83,40,6.73,92.45,8.49,2.57
Cedar Ridge Insurance,Commercial Auto,12/31/2024,USD,NJ,42,43,46,28,3,73.8,12,93.48,102.38,22,8.85,90.5,10.96,8.02
Cedar Ridge Insurance,Commercial Auto,12/31/2023,USD,NY,892,918,998,620,71,77.5,191,91.98,98.88,33,9.44,92.08,10.2,2.66
Cedar Ridge Insurance,Commercial Auto,12/31/2024,USD,NY,219,226,237,144,14,72.1,56,95.36,97.72,26,6.26,91.98,10.83,6.88
Cedar Ridge Insurance,Commercial Auto,12/31/2023,USD,OR,11,12,14,8,1,81.8,2,85.71,100,40,5.64,93.17,10.38,2.15
Cedar Ridge Insurance,Commercial Auto,12/31/2024,USD,OR,9,10,11,6,1,77.8,2,90.91,100,22,8.85,93.28,9.69,8.77
Cedar Ridge Insurance,Commercial Auto,12/31/2023,USD,VA,138,141,153,96,11,77.5,31,92.16,100,37,7.17,91.78,9.31,2.16
Cedar Ridge Insurance,Commercial Auto,12/31/2024,USD,VA,90,93,98,59,6,72.2,24,94.9,98.89,22,7.67,91.71,11.17,7.82
Cedar Ridge Insurance,Commercial Auto,12/31/2023,USD,WA,1461,1504,1636,1016,117,77.5,398,91.93,104.79,42,12.03,91.68,11.22,2.82
Cedar Ridge Insurance,Commercial Auto,12/31/2024,USD,WA,5,6,7,3,0,60,1,85.71,80,24,11.09,93.04,10.48,8.97
